date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:26	15941/15941	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2013:06:26%20GMT	https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/remotecheese.com/09225-best-browniesWYNMYCGA699/indexa8c9.html	(from )
21:06:26	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Apr%202025%2013:06:25%20GMT	https://remotecheese.com/robots.txt		(from )
21:06:26	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22178f7ebe6ccc6ac9e5524be78b65719b%22	https://remotecheese.com/09225-best-browniesWYNMYCGA699/images/favicon.ico	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/remotecheese.com/09225-best-browniesWYNMYCGA699/images/favicon.ico	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:26	5273/5273	---MCZ	200	added ('OK')	text/css	etag:W/%22f527d64696b8d0acc494c7d35a0979ae%22	https://remotecheese.com/09225-best-browniesWYNMYCGA699/css/style.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/remotecheese.com/09225-best-browniesWYNMYCGA699/css/style.css	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:26	9060/9060	---MCZ	200	added ('OK')	text/css	etag:W/%22c2eddbe2260d1e7c6a6bbd1e573b32e8%22	https://remotecheese.com/09225-best-browniesWYNMYCGA699/css/animation.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/remotecheese.com/09225-best-browniesWYNMYCGA699/css/animation.css	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:27	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:28	601/601	---M-Z	200	added ('OK')	application/javascript	etag:%22259-62ac3b4cd374f-gzip%22	https://zenacentre.com/backbutton/wynmyc/rolfix.js	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/zenacentre.com/backbutton/wynmyc/rolfix.js	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:29	289/289	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Apr%202025%2013:06:29%20GMT	https://loadativepiluendly.com/d/8017ae88-c56a-4a63-a2d8-7a123f089b89.js	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/loadativepiluendly.com/d/8017ae88-c56a-4a63-a2d8-7a123f089b89.5.delayed	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:29	285/285	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Apr%202025%2013:06:29%20GMT	https://loadativepiluendly.com/d/8017ae88-c56a-4a63-a2d8-7a123f089b89.js?noscript=true&lpurl=	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/loadativepiluendly.com/d/8017ae88-c56a-4a63-a2d8-7a123f089b89d349.js	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
21:06:29	69358/69358	---M--	200	added ('OK')	image/jpeg	etag:%222eea7eca775dc2fd010f3450b0ec8b96%22	https://remotecheese.com/09225-best-browniesWYNMYCGA699/images/bg.jpg	C:/Users/user/Desktop/KELVIN/Sonicau78/Spin-1/Sonicau78-1/remotecheese.com/09225-best-browniesWYNMYCGA699/images/bg.jpg	(from https://remotecheese.com/09225-best-browniesWYNMYCGA699/?ad_id=120220481660880751&adset_id=120220481169490751&campaign_id=120220481169480751&ad_name=2&adset_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&campaign_name=WYNMYCGA699_WYN8_MY_ABO_GARFREY_8017ae88-c56a-4a63-a2d8-7a123f089b89&source=fb&placement=Facebook_Mobile_Reels&pid=1994288187669915&cpid=8017ae88-c56a-4a63-a2d8-7a123f089b89&lpid=ee970f3e-872e-4522-bf47-5c09157aa3b2&utm_medium=paid&utm_source=fb&utm_id=120220481169480751&utm_content=120220481660880751&utm_term=120220481169490751&utm_campaign=120220481169480751&fbclid=IwY2xjawJbKKFleHRuA2FlbQEwAGFkaWQBqxvkMUvkLwEdakqJMmVns9zRp-rjEnQK99fJs3Y2UfcYEjMsPrC1CFCE0iU9ANxXUuuD_aem_rbCD5b0kE-mgY8vu5akOtw)
